Creating surface profile...
Computing temperature evolution...
V12.671 isualisation
         6551831 function calls (6505180 primitive calls) in 12.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
      540    0.002    0.000    0.004    0.000 typing.py:146(_type_check)
        2    0.000    0.000    0.004    0.002 interval.py:1(<module>)
      409    0.000    0.000    0.004    0.000 core.py:499(copy)
       12    0.000    0.000    0.004    0.000 rcsetup.py:401(validate_font_properties)
        9    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
      618    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.004    0.004 linalg.py:1(<module>)
        2    0.000    0.000    0.004    0.002 exceptions.py:1(<module>)
        1    0.000    0.000    0.004    0.004 platform.py:1(<module>)
     6899    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
 1541/516    0.003    0.000    0.004    0.000 sre_parse.py:175(getwidth)
     9863    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.004    0.004 ticker.py:1(<module>)
      325    0.001    0.000    0.004    0.000 function_base.py:483(add_newdoc)
       32    0.000    0.000    0.004    0.000 colors.py:1027(from_list)
   273/11    0.001    0.000    0.004    0.000 core.py:776(_parseNoCache)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _add_newdocs.py:1(<module>)
    63/11    0.000    0.000    0.004    0.000 core.py:3861(parseImpl)
      411    0.001    0.000    0.004    0.000 copy.py:66(copy)
     7786    0.004    0.000    0.004    0.000 sre_parse.py:234(__next)
        7    0.000    0.000    0.004    0.001 enum.py:536(_convert_)
     55/8    0.000    0.000    0.003    0.000 core.py:3635(leave_whitespace)
      406    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
        1    0.000    0.000    0.003    0.003 eval.py:1(<module>)
      241    0.000    0.000    0.003    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
      105    0.001    0.000    0.003    0.000 deprecation.py:128(deprecate)
      256    0.003    0.000    0.003    0.000 sre_compile.py:292(_optimize_charset)
   114/57    0.000    0.000    0.003    0.000 core.py:3722(copy)
       35    0.000    0.000    0.003    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.003    0.003 lapack.py:1(<module>)
        1    0.000    0.000    0.003    0.003 construction.py:574(_homogenize)
        2    0.000    0.000    0.003    0.002 datetimelike.py:1(<module>)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
      882    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.003    0.003 arraylike.py:1(<module>)
        2    0.000    0.000    0.003    0.002 pickle.py:1(<module>)
        5    0.000    0.000    0.003    0.001 dataclasses.py:1174(wrap)
      718    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     1508    0.001    0.000    0.003    0.000 re.py:187(match)
        5    0.000    0.000    0.003    0.001 dataclasses.py:881(_process_class)
      438    0.001    0.000    0.003    0.000 colors.py:265(to_rgba)
        1    0.000    0.000    0.003    0.003 socket.py:1(<module>)
        1    0.000    0.000    0.003    0.003 algorithms.py:1(<module>)
        3    0.000    0.000    0.003    0.001 std.py:551(__new__)
      344    0.001    0.000    0.003    0.000 inspect.py:663(_finddoc)
        1    0.000    0.000    0.003    0.003 readers.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _arffread.py:1(<module>)
        1    0.000    0.000    0.003    0.003 frame.py:489(DataFrame)
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
      718    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
     2654    0.002    0.000    0.003    0.000 __init__.py:411(_strip_comment)
     1754    0.001    0.000    0.003    0.000 {built-in method builtins.max}
       18    0.000    0.000    0.003    0.000 rcsetup.py:629(cycler)
        8    0.000    0.000    0.003    0.000 core.py:2678(__init__)
        1    0.000    0.000    0.003    0.003 boolean.py:1(<module>)
        1    0.000    0.000    0.003    0.003 version.py:157(Version)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
   114/57    0.000    0.000    0.003    0.000 core.py:3724(<listcomp>)
        3    0.000    0.000    0.003    0.001 std.py:648(get_lock)
        6    0.000    0.000    0.003    0.000 _version.py:1(<module>)
        1    0.000    0.000    0.003    0.003 std.py:89(__init__)
        1    0.000    0.000    0.003    0.003 std.py:115(create_mp_lock)
        1    0.000    0.000    0.003    0.003 _pydecimal.py:1(<module>)
       88    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1343(_path_hooks)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
       28    0.001    0.000    0.003    0.000 util.py:182(_collapse_string_to_ranges)
        1    0.000    0.000    0.003    0.003 numerictypes.py:1(<module>)
      261    0.001    0.000    0.003    0.000 construction.py:494(sanitize_array)
       88    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     2118    0.001    0.000    0.003    0.000 typing.py:986(__setattr__)
     1192    0.000    0.000    0.003    0.000 abc.py:117(__instancecheck__)
       55    0.000    0.000    0.003    0.000 core.py:3643(<listcomp>)
        1    0.000    0.000    0.003    0.003 wavfile.py:30(WAVE_FORMAT)
     7067    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
