Creating surface profile...
Computing temperature evolution...
Visualisation
         40024054 function calls (39816329 primitive calls) in 67.037 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.062    0.021 registry.py:1(<module>)
25706/13275    0.008    0.000    0.062    0.000 pprint.py:462(format)
     2001    0.002    0.000    0.062    0.000 utils.py:305(_text_width)
        1    0.000    0.000    0.061    0.061 dispatcher.py:1(<module>)
3230/1480    0.006    0.000    0.061    0.000 context.py:428(install_registry)
     2080    0.014    0.000    0.060    0.000 {built-in method builtins.sum}
4747/3956    0.003    0.000    0.059    0.000 contextlib.py:130(__enter__)
     1475    0.045    0.000    0.059    0.000 instructions.py:509(__init__)
        1    0.000    0.000    0.059    0.059 frame.py:1(<module>)
      112    0.001    0.000    0.059    0.001 slicing.py:34(fix_bound)
     1551    0.014    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
        1    0.000    0.000    0.059    0.059 compiler.py:1(<module>)
        1    0.000    0.000    0.058    0.058 _axes.py:1(<module>)
   126/89    0.000    0.000    0.058    0.001 <frozen importlib._bootstrap_external>:1182(exec_module)
   126/89    0.013    0.000    0.058    0.001 {built-in method _imp.exec_dynamic}
     8928    0.057    0.000    0.058    0.000 {built-in method __new__ of type object at 0x7fa8ec7a70c0}
25706/13275    0.021    0.000    0.057    0.000 pprint.py:550(_safe_repr)
      110    0.009    0.000    0.057    0.001 analysis.py:23(compute_use_defs)
  323/148    0.001    0.000    0.057    0.000 context.py:415(_load_builtins)
        1    0.000    0.000    0.056    0.056 charseq.py:1(<module>)
    11311    0.011    0.000    0.056    0.000 values.py:537(__init__)
        1    0.000    0.000    0.056    0.056 _mio.py:1(<module>)
      288    0.010    0.000    0.056    0.000 pprint.py:376(_format_dict_items)
        1    0.000    0.000    0.055    0.055 patches.py:1(<module>)
       97    0.001    0.000    0.055    0.001 arrayobj.py:92(shape)
        1    0.000    0.000    0.052    0.052 _mio4.py:1(<module>)
