Creating surface profile...
Computing temperature evolution...
Visualisation
         4014645 function calls (3968377 primitive calls) in 6.743 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.005    0.005 masked.py:1(<module>)
     1006    0.003    0.000    0.005    0.000 enum.py:89(__setitem__)
        1    0.000    0.000    0.005    0.005 frame.py:609(__init__)
        1    0.000    0.000    0.005    0.005 generic.py:218(NDFrame)
        1    0.000    0.000    0.005    0.005 construction.py:423(dict_to_mgr)
      108    0.000    0.000    0.005    0.000 typing.py:483(Union)
     8556    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
     1199    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       57    0.002    0.000    0.005    0.000 {built-in method builtins.eval}
      159    0.000    0.000    0.005    0.000 utils.py:333(disp_len)
        6    0.000    0.000    0.005    0.001 patches.py:2230(<listcomp>)
        1    0.000    0.000    0.005    0.005 hashing.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _io.py:1(<module>)
      901    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.005    0.005 groupby.py:1(<module>)
        1    0.000    0.000    0.005    0.005 table.py:1(<module>)
        4    0.000    0.000    0.005    0.001 numeric.py:1(<module>)
     1298    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      234    0.001    0.000    0.005    0.000 {built-in method builtins.sum}
      159    0.000    0.000    0.005    0.000 utils.py:329(_text_width)
       11    0.000    0.000    0.005    0.000 core.py:1076(parse_string)
        1    0.000    0.000    0.005    0.005 index_tricks.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _typing.py:1(<module>)
        5    0.000    0.000    0.005    0.001 version.py:1(<module>)
      256    0.004    0.000    0.004    0.000 {pandas._libs.lib.maybe_convert_numeric}
      409    0.000    0.000    0.004    0.000 rcsetup.py:307(validate_color)
     1490    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      225    0.001    0.000    0.004    0.000 typing.py:1016(__init__)
     3195    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x748520}
       32    0.000    0.000    0.004    0.000 colors.py:1027(from_list)
        2    0.000    0.000    0.004    0.002 methods.py:48(add_flex_arithmetic_methods)
        1    0.000    0.000    0.004    0.004 nanops.py:1(<module>)
        2    0.000    0.000    0.004    0.002 methods.py:73(_create_methods)
        2    0.000    0.000    0.004    0.002 _distributor_init.py:1(<module>)
        3    0.000    0.000    0.004    0.001 accessor.py:1(<module>)
    15936    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
      244    0.001    0.000    0.004    0.000 sre_compile.py:560(_compile_info)
        2    0.000    0.000    0.004    0.002 format.py:1(<module>)
        1    0.000    0.000    0.004    0.004 socket.py:1(<module>)
        2    0.000    0.000    0.004    0.002 datetimelike.py:1(<module>)
        1    0.000    0.000    0.004    0.004 scale.py:1(<module>)
       39    0.002    0.000    0.004    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.004    0.004 font_manager.py:1(<module>)
        1    0.000    0.000    0.004    0.004 legend.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _secondary_axes.py:1(<module>)
        2    0.000    0.000    0.004    0.002 _pep440.py:1(<module>)
        1    0.000    0.000    0.004    0.004 readers.py:1(<module>)
     1436    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        1    0.000    0.000    0.004    0.004 _parser.py:1(<module>)
      187    0.000    0.000    0.004    0.000 abc.py:105(__new__)
      871    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     8646    0.003    0.000    0.004    0.000 sre_parse.py:165(__getitem__)
      522    0.001    0.000    0.004    0.000 typing.py:146(_type_check)
        1    0.000    0.000    0.004    0.004 array_ops.py:1(<module>)
      412    0.000    0.000    0.004    0.000 colors.py:218(is_color_like)
       12    0.000    0.000    0.004    0.000 rcsetup.py:401(validate_font_properties)
        9    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:80(parse_fontconfig_pattern)
        1    0.000    0.000    0.004    0.004 construction.py:100(arrays_to_mgr)
        1    0.000    0.000    0.004    0.004 secrets.py:1(<module>)
     5787    0.002    0.000    0.004    0.000 sre_parse.py:255(get)
      111    0.000    0.000    0.004    0.000 rcsetup.py:88(f)
     1815    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:100(acquire)
   273/11    0.001    0.000    0.003    0.000 core.py:776(_parseNoCache)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
    63/11    0.000    0.000    0.003    0.000 core.py:3861(parseImpl)
        9    0.000    0.000    0.003    0.000 core.py:5392(__init__)
    12263    0.002    0.000    0.003    0.000 utils.py:330(<genexpr>)
        7    0.000    0.000    0.003    0.000 enum.py:536(_convert_)
        1    0.000    0.000    0.003    0.003 eval.py:1(<module>)
     1815    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:125(release)
     29/8    0.000    0.000    0.003    0.000 core.py:4379(leave_whitespace)
        1    0.000    0.000    0.003    0.003 iterative.py:1(<module>)
     6899    0.003    0.000    0.003    0.000 {method 'expandtabs' of 'str' objects}
      284    0.001    0.000    0.003    0.000 overrides.py:88(verify_matching_signatures)
        1    0.000    0.000    0.003    0.003 construction.py:588(_homogenize)
      405    0.001    0.000    0.003    0.000 deprecation.py:9(wrap)
        2    0.000    0.000    0.003    0.002 _pep440.py:285(Version)
 1499/498    0.003    0.000    0.003    0.000 sre_parse.py:175(getwidth)
        2    0.000    0.000    0.003    0.002 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.003    0.003 series.py:216(Series)
      409    0.000    0.000    0.003    0.000 core.py:499(copy)
        5    0.000    0.000    0.003    0.001 dataclasses.py:1174(wrap)
        5    0.000    0.000    0.003    0.001 dataclasses.py:881(_process_class)
    10396    0.002    0.000    0.003    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.003    0.003 ticker.py:1(<module>)
        1    0.000    0.000    0.003    0.003 algorithms.py:1(<module>)
      241    0.000    0.000    0.003    0.000 rcsetup.py:279(validate_color_for_prop_cycle)
        2    0.000    0.000    0.003    0.001 ElementTree.py:1(<module>)
      248    0.002    0.000    0.003    0.000 sre_compile.py:292(_optimize_charset)
       35    0.000    0.000    0.003    0.000 rcsetup.py:107(<listcomp>)
        1    0.000    0.000    0.003    0.003 pathlib.py:1(<module>)
      105    0.001    0.000    0.003    0.000 deprecation.py:128(deprecate)
      914    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.003    0.003 std.py:560(__new__)
        2    0.000    0.000    0.003    0.001 exceptions.py:1(<module>)
      438    0.001    0.000    0.003    0.000 colors.py:265(to_rgba)
        2    0.000    0.000    0.003    0.001 expressions.py:1(<module>)
        2    0.000    0.000    0.003    0.001 _misc.py:1(<module>)
        1    0.000    0.000    0.003    0.003 spines.py:1(<module>)
      745    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     1534    0.001    0.000    0.003    0.000 re.py:187(match)
     1192    0.000    0.000    0.003    0.000 abc.py:117(__instancecheck__)
        1    0.000    0.000    0.003    0.003 axes3d.py:42(Axes3D)
       53    0.000    0.000    0.003    0.000 std.py:348(print_status)
     7006    0.003    0.000    0.003    0.000 sre_parse.py:234(__next)
        1    0.000    0.000    0.003    0.003 PngImagePlugin.py:1(<module>)
      411    0.001    0.000    0.003    0.000 copy.py:66(copy)
