Creating surface profile...
Computing temperature evolution...
Visualisation
         3801900 function calls (3755662 primitive calls) in 15.783 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 __init__.py:32(__enter__)
        1    0.000    0.000    0.000    0.000 __init__.py:321(NumExprClobberingError)
        1    0.000    0.000    0.007    0.007 __init__.py:322(_sanity_check)
       39    0.002    0.000    0.004    0.000 __init__.py:328(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:33(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:332(Version)
       16    0.000    0.000    0.000    0.000 __init__.py:336(__init__)
 3627/861    0.001    0.000    0.001    0.000 __init__.py:337(recursive_subclasses)
        1    0.000    0.000    0.000    0.000 __init__.py:340(UndefinedVariableError)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:342(silent_list)
       61    0.000    0.000    0.000    0.000 __init__.py:346(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:36(__deprecate_private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:366(IndexingError)
        1    0.000    0.000    0.000    0.000 __init__.py:368(_FuncPtr)
        1    0.000    0.000    0.000    0.000 __init__.py:37(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:374(_CountryNameDict)
        1    0.000    0.000    0.000    0.000 __init__.py:38(inspect_format)
        1    0.000    0.000    0.000    0.000 __init__.py:387(PyperclipException)
        3    0.000    0.000    0.000    0.000 __init__.py:393(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:395(PyperclipWindowsException)
        1    0.000    0.000    0.000    0.000 __init__.py:397(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:400(_FixedOffset)
      215    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:409(CSSWarning)
        1    0.000    0.000    0.001    0.001 __init__.py:412(PercentStyle)
       14    0.000    0.000    0.002    0.000 __init__.py:413(flex_arith_method_FRAME)
     2648    0.002    0.000    0.003    0.000 __init__.py:414(_strip_comment)
        1    0.000    0.000    0.000    0.000 __init__.py:415(dev)
        1    0.000    0.000    0.000    0.000 __init__.py:419(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:426(validate)
        1    0.000    0.000    0.000    0.000 __init__.py:428(PossibleDataLossError)
        1    0.000    0.000    0.000    0.000 __init__.py:43(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:440(ClosedFileError)
        1    0.000    0.000    0.001    0.001 __init__.py:445(StrFormatStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:45(UnsortedIndexError)
        1    0.000    0.000    0.000    0.000 __init__.py:453(IncompatibilityWarning)
        6    0.000    0.000    0.001    0.000 __init__.py:458(flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:459(AttributeConflictWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:459(_get_xdg_config_dir)
       48    0.000    0.000    0.000    0.000 __init__.py:468(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 __init__.py:469(DatabaseError)
        1    0.000    0.000    0.000    0.000 __init__.py:469(_get_xdg_cache_dir)
        2    0.000    0.000    0.000    0.000 __init__.py:478(_get_config_or_cache_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:479(StringTemplateStyle)
        1    0.000    0.000    0.000    0.000 __init__.py:482(PossiblePrecisionLoss)
        1    0.000    0.000    0.000    0.000 __init__.py:497(ValueLabelTypeMismatch)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
       16    0.000    0.000    0.000    0.000 __init__.py:507(_parse_local_version)
